Date,Valor_Portafolio,Capital_Invertido,Rendimiento_%
2025-06-30,274.0335156231212,260.019992573468,5.389402142104016
2025-07-01,269.40950799266477,260.019992573468,3.611074412496862
2025-07-02,271.4443451442986,260.019992573468,4.393643910901446
2025-07-03,274.0689496310976,260.019992573468,5.403029558836758
2025-07-07,363.4182385380616,350.78998477501204,3.599947065520981
2025-07-08,364.06834956460875,350.78998477501204,3.785274770063096
2025-07-09,366.30199970181286,350.78998477501204,4.42202331880992
2025-07-10,367.599632026382,350.78998477501204,4.791940471775802
2025-07-11,368.53756191046335,350.78998477501204,5.0593169433939655
2025-07-14,368.56935966760443,350.78998477501204,5.068381557129009
2025-07-15,556.6318399150483,537.219980467676,3.613391190415771
2025-07-16,556.7333244570763,537.219980467676,3.632281876860377
2025-07-17,559.7173315006183,537.219980467676,4.187735350676514
2025-07-18,561.7813212554267,537.219980467676,4.571933599038691
2025-07-21,559.4977596905848,537.219980467676,4.146863488494024
2025-07-22,552.5956665573776,537.219980467676,2.8620838108657676
2025-07-23,562.3630989335074,537.219980467676,4.680227724207708
2025-07-24,567.2144839134597,537.219980467676,5.583281437088772
2025-07-25,568.6289754994384,537.219980467676,5.846579832049303
2025-07-28,798.1074013991017,774.769978903099,3.01217433967218
2025-07-29,795.835105359874,774.769978903099,2.718887802880343
2025-07-30,799.4888861571379,774.769978903099,3.1904833598528803
2025-07-31,793.6449471019259,774.769978903099,2.436202836040402
2025-08-01,777.0309172337558,774.769978903099,0.29182059091368284
2025-08-04,791.8766870286113,774.769978903099,2.207972506850564
2025-08-05,795.8603178130594,774.769978903099,2.7221419884930986
2025-08-06,801.9278273245621,774.769978903099,3.5052788777273802
2025-08-07,805.6497642546577,774.769978903099,3.9856713853675174
2025-08-08,812.1494235543922,774.769978903099,4.824586092534755
2025-08-11,809.9645601978445,774.769978903099,4.542584541617534
2025-08-12,819.6930250129325,774.769978903099,5.7982430054187795
2025-08-13,818.1147679684321,774.769978903099,5.594536474774059
2025-08-14,817.8703489330004,774.769978903099,5.562989171434074
2025-08-15,812.1553777729829,774.769978903099,4.825354606900656
2025-08-18,813.111932281427,774.769978903099,4.948817639089698
2025-08-19,797.7086636091813,774.769978903099,2.960709027285535
2025-08-20,793.3903323731545,774.769978903099,2.4033395687863113
2025-08-21,791.3585906176414,774.769978903099,2.1411015096413744
2025-08-22,805.0792814104108,774.769978903099,3.912038841544052
2025-08-25,802.9566057238216,774.769978903099,3.638063888410925
2025-08-26,811.5873604212971,774.769978903099,4.752040285598502
2025-08-27,810.6332780582542,774.769978903099,4.6288963346165835
2025-08-28,814.0355154405412,774.769978903099,5.06802504054602
2025-08-29,805.417332264938,774.769978903099,3.9556712568069363
2025-09-02,799.0513532383771,774.769978903099,3.1340107382135773
2025-09-03,830.7250612162164,806.8099762142429,2.964153357918198
2025-09-04,839.9094861670771,806.8099762142429,4.10251619695452
2025-09-05,873.5012013834045,844.1299730741349,3.4794675282416643
2025-09-08,877.6727808718646,844.1299730741349,3.973654397743287
2025-09-09,885.1420582571482,844.1299730741349,4.858503606222664
